"","Collection.No.","LL","LI","LM","WI","WD","TP","TI","TD","LI.WI","Subfamily","Habitat","Weight_Kg","Locality","Unit","Sector"
"1","20P5A",36.8,30.5,33.74,21.1,20.85,13.16,17.6,16.38,1.44549763033175,"Reduncinae","L",40.8207283421768,"P5","U1","1"
"2","27P5A",34.44,27.7,32.88,18.72,16.59,13.12,16.54,13.2466691810757,1.47970085470085,"Bovinae","F",33.1665995149305,"P5","U1","1"
"3","44P10",45.62,38.27,44.14,29.7600116254192,29.57,16.53,23.8732619502545,20.866920652222,1.28595379873145,"Alcelaphinae","O",97.9382474067559,"P10","U1","4C"
"4","58P11A",34.16,27.62,31.72,19.21,20.29,13.08,17.44,15.53,1.43779281624154,"Antilopinae","O",38.4958329357193,"P11","U1","3D"
"5","86P11A",32.56,26.45,31.13,18.83,19.5,12.34,16.53,13.7,1.40467339352098,"Antilopinae","O",34.8593014093972,"P11","U1","3D"
"6","87P11A",27.75,22.53,26.32,15.6,16.29,10.56,14.47,9.18969810422489,1.44423076923077,"Antilopinae","L",24.9796202369014,"P11","U1","3D"
"7","128P11A",27.8969398389117,22.07,23.9645301254058,15.32543373883,14.46,10,13.41,13.93,1.440089747286,"Antilopinae","L",23.481433972598,"P11","U1","3D"
"8","166P11A",57.5563730361394,41.48,50.0235649245162,45.0063998345853,40.4834762474213,50.4,17.23,24.66,0.921646702523507,"Hippotraginae","O",514.103766848317,"P11","U1","3D"
"9","6P14A",30.14,25.1,28.53,16.48,17.82,10.2,16.12,15.41,1.52305825242718,"Antilopinae","L",27.4350117830349,"P14","U1","4C"
"10","20P14A",33.7,26.65,30.86,19.52,19.1,12.17,17.56,17.83,1.36526639344262,"Antilopinae","O",39.2158107132266,"P14","U1","4C"
"11","30P14A",34.5,27.8,31.83,20.22,20.42,11.3,17.4,16.9920989465315,1.37487636003956,"Antilopinae","O",39.5963879633466,"P14","U1","4C"
"12","33P14A",32.15,25.7,28.66,16.84,18.26,9.25,15.36,14.85,1.52612826603325,"Antilopinae","L",29.1221775780895,"P14","U1","4C"
"13","57P16B",29.5172390080701,25.14,30.17,15.5421503445497,19.3501348340237,9.84491707782721,15.0105567638115,13.2723545861812,1.6175367914142,"Antilopinae","L",24.592085824295,"P16","U1","4B"
"14","93P16B",31.7774653545145,25.64,29.3,17.92,19.62,10.3565910516301,17.73,15.119101426558,1.43080357142857,"Antilopinae","O",34.9569633255993,"P16","U1","4B"
"15","100P16B",37.5,28.56,32.94,21.09,21.95,11.15,19.09,16.88,1.35419630156472,"Antilopinae","O",51.9691357969978,"P16","U1","4B"
"16","141P16A",30.4,24.42,27.34,14.95,16,9.11,14.14,14.29,1.63344481605351,"Antilopinae","L",23.6232170086871,"P16","U1","4B"
"17","276P16A",27.37,21.55,25.17,12.48914128841,14.42,7.07,13.83,11.3461900617382,1.72549893562326,"Antilopinae","F",19.9718433772976,"P16","U1","4B"
"18","65P17A",30.4863593756799,26.3,31.65,19.56,19.78,11.06,15.6,14.7365803775491,1.34458077709611,"Antilopinae","L",30.3748505706319,"P17","U1","4B"
"19","66P17A",47.83,37.91,44.61,26.71,30.76,16.68,25.75,21.76,1.4193186072632,"Bovinae","F",110.881271197523,"P17","U1","4B"
"20","67P17A",33.24,26.68,30.17,18.5,19.09,10.8,17.55,14.69,1.44216216216216,"Antilopinae","L",35.8101008407316,"P17","U1","4B"
"21","1P21A",33.5501287692372,27.0409276588842,32.23,20.06,20.97,15.1238668941313,17.06,14.48,1.34800237581676,"Bovinae","F",41.3347127251223,"P21","U1","4B"
"22","2P21A",31.17,26.4,30.23,15.748508888203,19.7444139746129,10.54,15.38,14.6,1.67634918247885,"Antilopinae","L",26.0599660025153,"P21","U1","4B"
"23","12P22A",50.1,39.96,46.55,28.57,32.66,16.81,27.74,24.9,1.39866993349667,"Hippotraginae","O",136.042862292802,"P22","U1","4B"
