Collection.No.,LL,LI,LM,WI,WD,TP,TI,TD,LI.WI,Tribe,Habitat,Data
1,36.5,28.2,34,21,20.9,13.6,19,16.2,1.342857143,Aepycerotini,L,Extant
2,40.9,31.2,38,23.4,22.5,15.2,20.6,18.1,1.333333333,Aepycerotini,L,Extant
3,37,29.3,34.5,22.1,21.4,13.4,19.9,17.7,1.325791855,Aepycerotini,L,Extant
4,36.2,27.3,33.1,21.3,20.9,13.2,18.1,15.1,1.281690141,Aepycerotini,L,Extant
5,36.6,29.2,35.5,21.1,21.4,13.7,18.5,16.3,1.383886256,Aepycerotini,L,Extant
6,37.7,29.8,35.7,22.4,21.3,13.7,18.4,16.3,1.330357143,Aepycerotini,L,Extant
7,37.3,28.5,35.1,21.5,22.3,12.9,19.7,17.1,1.325581395,Aepycerotini,L,Extant
8,39,29.4,35.8,22.9,23.6,13.9,20.4,17,1.283842795,Aepycerotini,L,Extant
9,37.7,29.3,35.3,22.3,22.5,14.5,19,16.7,1.313901345,Aepycerotini,L,Extant
10,35.3,27.2,33.4,20.6,21,13.5,18.4,14.8,1.32038835,Aepycerotini,L,Extant
11,45.3,36.3,42.7,27.1,27.3,18.9,22.8,22,1.339483395,Alcelaphini,O,Extant
12,47.7,39.3,45.5,34.3,31.2,21.4,25.9,24.2,1.145772595,Alcelaphini,O,Extant
13,48.4,38.2,45.4,30.3,30.7,21,25.2,23.3,1.260726073,Alcelaphini,O,Extant
14,47.2,37.7,45.5,29.3,30.8,20.1,25.2,24.4,1.28668942,Alcelaphini,O,Extant
15,44.5,35.4,41.7,29.4,29.4,18.2,23.6,22,1.204081633,Alcelaphini,O,Extant
16,51,39.3,47.6,33.8,31.6,21.1,25.9,24.9,1.162721893,Alcelaphini,O,Extant
17,49.8,41.1,46.4,29.9,30.7,20.8,25.7,25.5,1.37458194,Alcelaphini,O,Extant
18,48.9,39.6,46.4,32.7,32.1,21.5,26.5,26.1,1.211009174,Alcelaphini,O,Extant
19,52.4,40.4,50.6,33,33.3,21.6,26.9,23.6,1.224242424,Alcelaphini,O,Extant
20,48.3,38,45.6,32,31.8,20.6,25.8,25.4,1.1875,Alcelaphini,O,Extant
