Subfamily,Habitat,LL,LI,LM,WI,WD,TP,TI,TD,LI/WI
Alcelaphinae,1,45.3,36.3,42.7,27.1,27.3,18.9,22.8,22,1.339483395
Alcelaphinae,1,47.7,39.3,45.5,34.3,31.2,21.4,25.9,24.2,1.145772595
Alcelaphinae,1,48.4,38.2,45.4,30.3,30.7,21,25.2,23.3,1.260726073
Alcelaphinae,1,47.2,37.7,45.5,29.3,30.8,20.1,25.2,24.4,1.28668942
Alcelaphinae,1,44.5,35.4,41.7,29.4,29.4,18.2,23.6,22,1.204081633
Alcelaphinae,1,51,39.3,47.6,33.8,31.6,21.1,25.9,24.9,1.162721893
Alcelaphinae,1,49.8,41.1,46.4,29.9,30.7,20.8,25.7,25.5,1.37458194
Alcelaphinae,1,48.9,39.6,46.4,32.7,32.1,21.5,26.5,26.1,1.211009174
Alcelaphinae,1,52.4,40.4,50.6,33,33.3,21.6,26.9,23.6,1.224242424
Alcelaphinae,1,48.3,38,45.6,32,31.8,20.6,25.8,25.4,1.1875
Alcelaphinae,1,51.2,41.2,46.7,31.9,32.7,21.6,27.7,26.4,1.29153605
Alcelaphinae,1,52,39.5,47.7,33.8,33.9,21.9,29.1,29.8,1.168639053
Alcelaphinae,1,51.9,39.5,48.4,32.2,32.4,22.9,26.8,25,1.226708075
Alcelaphinae,1,50.6,40.7,49.2,31.5,32.3,22.8,25.9,19.8,1.292063492
Alcelaphinae,1,44.6,36.5,43.1,29.2,29.9,18.6,22.2,17.7,1.25
Alcelaphinae,1,53.2,43,50.6,35.1,33.6,22.1,27.7,24.5,1.225071225
Alcelaphinae,1,56.2,45.8,53.7,36.3,36.2,24.8,30.1,23.4,1.261707989
Alcelaphinae,1,51.8,41.6,47.9,36.2,33.6,22,27,21.7,1.149171271
Alcelaphinae,1,52.9,41.8,48.6,34.8,33.9,21.4,27.2,24.2,1.201149425
Alcelaphinae,1,50.7,40.4,48.8,32.3,32.4,19.9,25.4,21.7,1.250773994
Alcelaphinae,1,56.7,45,53.5,35,35.6,23.4,29,24.6,1.285714286
Alcelaphinae,1,38.4,30,37.1,23.8,23.4,16,19.8,17.7,1.260504202
Alcelaphinae,1,37.6,29.1,35.9,23.7,23.7,15.5,19.6,16.9,1.227848101
Alcelaphinae,1,37.3,28.4,34.5,24.4,23.5,14.3,19.1,17,1.163934426
Alcelaphinae,1,36,27.6,34.4,22.1,22.6,15.6,19,15.9,1.248868778
Alcelaphinae,1,37.9,29.9,35.7,24,23.9,15.8,20.3,17.5,1.245833333
Alcelaphinae,1,36.7,29.5,35.3,22.4,23.5,15.6,18.9,16.1,1.316964286
Alcelaphinae,1,42.5,32.8,39.7,26.6,27.9,18.9,22.3,21.1,1.233082707
Alcelaphinae,1,41.2,32,38.5,27,27.3,17.6,22.3,21.5,1.185185185
Alcelaphinae,1,47.1,36.6,44.4,28.6,31.7,20.1,24.7,23.9,1.27972028
Alcelaphinae,1,48.5,36.5,45.1,30,30.8,20.3,24.3,20.4,1.216666667
Alcelaphinae,1,46.9,35.9,43.9,28.4,29.7,17.8,24.4,20.6,1.264084507
Alcelaphinae,1,47,36.8,44.2,28.6,30.3,18.5,24.6,20.5,1.286713287
Alcelaphinae,1,49.3,38.3,45.7,31.8,31.4,20.2,26.8,24.7,1.204402516
Antilopinae,1,33.8,26.6,31.8,22,21.3,12.7,18.1,16.3,1.209090909
Antilopinae,1,29.1,24,27.5,17.8,18.8,10.9,15.5,13.2,1.348314607
Antilopinae,1,28.5,22.5,26.9,19.2,18.4,11.3,14.9,12.7,1.171875
Antilopinae,1,30.5,23.5,28.5,19.2,18.9,10.5,15.8,13,1.223958333
Antilopinae,1,29.8,23.3,27.7,19,18.7,10.4,15.4,13.6,1.226315789
Antilopinae,1,28.5,22.1,26.4,17,17.3,10.6,14.7,12.5,1.3
Antilopinae,1,30.8,23.5,28.4,18.3,18.6,12.5,15.9,13.9,1.284153005
Antilopinae,1,31,23.8,28.1,18,18.3,10.4,15.5,13.4,1.322222222
Antilopinae,1,38.7,30,34.8,20.9,22.4,14.3,20,17.6,1.435406699
Antilopinae,1,36.3,29.3,33.8,20.7,22,13.2,19.1,16.8,1.415458937
Antilopinae,1,36.9,29,34.5,20.8,22.1,13.7,18.2,17.9,1.394230769
Antilopinae,1,37.4,29.6,34.7,20.6,21.5,13.4,19.1,17.2,1.436893204
Antilopinae,1,37.8,28.9,34.6,21.9,23.3,14.7,20.2,17,1.319634703
Antilopinae,1,33.8,26.5,31.2,20.7,20.6,11.9,18.1,15.7,1.280193237
Antilopinae,1,36.1,28.2,33,20.6,21.8,12.8,19.2,16.7,1.368932039
Antilopinae,1,38.1,29.1,35.2,21.3,22.7,13.8,19.8,17.4,1.366197183
Antilopinae,1,34.9,26.8,31.9,18.9,20.4,11.8,17.7,15.8,1.417989418
Antilopinae,1,37.4,29.1,34.3,21.5,22.7,13.7,19.4,18.3,1.353488372
Antilopinae,1,25.7,19.5,23.1,14.7,14.5,9.3,11.8,10.8,1.326530612
Antilopinae,1,26.2,19.9,23.7,15.4,15,9.5,12.9,10.8,1.292207792
Antilopinae,1,26.3,20.3,24.5,15.7,16.2,9.1,12.9,11.6,1.292993631
Antilopinae,1,26.4,20.2,24.1,16.2,16.2,9.6,12.8,11.3,1.24691358
Antilopinae,1,26.3,19.9,23.8,16,16.3,9.7,13.7,11.7,1.24375
Antilopinae,1,34.7,28,31.7,18.3,20.1,12.5,16,13.7,1.530054645
Antilopinae,1,35,26.7,32.4,21.8,21.8,12.8,17.6,15.9,1.224770642
Antilopinae,1,32.7,24.1,29.4,18.7,18.8,11.6,15.7,13.3,1.288770053
Antilopinae,1,33.2,26,30.3,18.6,19.1,11.3,15.8,14,1.397849462
Antilopinae,4,17,13.9,16.3,9.1,9.2,5.4,8.6,6.6,1.527472527
Antilopinae,4,15.1,12.7,14.8,8.5,8.7,4.5,7.5,6.2,1.494117647
Antilopinae,4,14.2,11.1,13.4,8.1,8,4.8,6.7,5.2,1.37037037
Antilopinae,4,13.3,10.6,12.7,7.4,7.9,5,6.5,5.8,1.432432432
Antilopinae,2,28.1,23.5,26.4,15.8,16,10.5,14.4,11.9,1.487341772
Antilopinae,2,26.2,22.5,26.1,15.6,15.5,9.4,13.1,11.5,1.442307692
Antilopinae,2,27.3,22.4,25.5,15.8,15.1,8.9,13.5,11.2,1.417721519
Antilopinae,2,28.4,22.9,26.3,17.1,16.3,9.3,14.1,12,1.339181287
Antilopinae,2,26.4,20.1,23.4,16.1,15.9,9.4,12.8,11.5,1.248447205
Antilopinae,2,25.8,21.3,24.1,15.3,15.6,9,12.4,10.2,1.392156863
Antilopinae,2,24.4,19.8,23,13.9,14,7.9,11.8,10.9,1.424460432
Antilopinae,2,28,22.1,25.6,15.7,16,10.1,13.7,12.3,1.407643312
Antilopinae,2,25.8,21.1,24.3,14.4,14,8.8,12.8,9.8,1.465277778
Antilopinae,2,26.9,22,25.5,15.9,16.5,10.2,13.6,11,1.383647799
Antilopinae,2,23.3,18.5,21.5,13.1,13.4,9.1,12.2,10.7,1.41221374
Antilopinae,2,23.4,18.4,21.8,12.4,13.1,8.5,11.4,10.3,1.483870968
Antilopinae,2,21.6,17,20.2,12.7,12.8,7.7,10.8,9.4,1.338582677
Antilopinae,2,23,17.9,21.5,12.6,13.3,8.2,11.1,9.2,1.420634921
Antilopinae,2,22.2,17.2,20.4,12,12.5,8,10.7,9.6,1.433333333
Bovinae,1,78,63.7,73.7,47.1,48.6,29.1,41.7,36.4,1.352441614
Bovinae,1,79.3,65.1,73.3,46,50.9,32.4,40,36.6,1.415217391
Bovinae,1,75.2,60.9,70.3,42,48,29.5,36.8,31.9,1.45
Bovinae,1,79.1,63.3,72,43,48.1,30,38.2,36.7,1.472093023
Bovinae,1,74.4,60,69.1,39.3,45.9,28.2,34.9,32.2,1.526717557
Bovinae,1,76.1,61,70.2,42.1,47.5,28.3,37.1,32.4,1.448931116
Bovinae,1,78.6,64.7,74.3,45.8,51.7,31.8,40.1,36.1,1.412663755
Bovinae,1,78.3,65.1,72.7,43.1,48.2,32.7,38.3,32.5,1.510440835
Bovinae,1,75.5,61.9,69.9,40.1,45,28.1,36.3,32.5,1.543640898
Bovinae,1,77,61.6,70.9,43,46.5,31,37.9,35,1.43255814
Bovinae,1,77.1,62,71.2,42.6,49,28.5,37.8,36.2,1.455399061
Bovinae,1,73.9,62,72.7,43.9,47.1,28.9,38.4,35,1.412300683
Bovinae,4,44.3,35.9,40.5,27.4,27.5,17.3,23,19,1.310218978
Bovinae,4,45.5,36.7,40.1,28.2,28.7,17.8,23.9,20.6,1.30141844
Bovinae,4,48.2,37.8,43.2,27.1,29,18.1,23.6,19.9,1.394833948
Bovinae,3,60.1,49.8,56.7,34.2,37.8,24.2,30.2,26.7,1.456140351
Bovinae,3,55,46.2,52.9,30.9,34,21.1,25.6,24.7,1.495145631
Bovinae,3,67,55.5,62.7,34.5,41.5,26.8,30.8,28.8,1.608695652
Bovinae,3,61.9,51.6,59.4,37.8,40,24.1,31.3,30.9,1.365079365
Bovinae,3,58.7,48.3,33.7,23,36.1,24.4,29.9,27,2.1
Bovinae,3,56.2,45.2,52.6,33.5,35.6,23.3,27.5,25.7,1.349253731
Bovinae,3,54.2,45.2,52.5,29.9,32.9,20.5,26,23.1,1.511705686
Bovinae,3,62.5,52.9,58.9,37.1,38,24.8,29.8,25.6,1.425876011
Bovinae,3,54.6,44.1,50.4,34.1,35.6,19.2,27.3,23.6,1.293255132
Bovinae,3,60.7,49.2,57.2,33.3,36.3,23.4,28.6,24.1,1.477477477
Bovinae,3,64.9,52.8,59.5,40.2,39.3,26.9,33.7,28.1,1.313432836
Bovinae,3,59.7,48.2,57,33.1,36.1,23.4,30.2,26.2,1.456193353
Bovinae,3,70,57.9,64.5,39.8,42.5,25.6,35.4,32.7,1.454773869
Bovinae,3,65.1,53.4,60.4,36.7,39.9,24.7,30.3,25.9,1.455040872
Bovinae,3,70.4,57.2,62.9,39.7,44.2,27.8,37.8,29.8,1.440806045
Bovinae,3,61.8,49,57.3,33,36.5,23.3,29.6,27.4,1.484848485
Bovinae,3,48.8,37.6,45.4,26,28.1,19.3,23.3,20.9,1.446153846
Bovinae,3,44.8,34.9,42.2,25,27.2,17.3,21.3,18.7,1.396
Bovinae,3,48.1,37.1,44.5,26.3,27.8,18.2,24.5,21.1,1.410646388
Bovinae,3,41.5,32.4,38.9,22.8,23.3,16.2,20.6,17.7,1.421052632
Bovinae,4,31.8,24.2,29.5,17.8,17.7,11.4,16.1,12.8,1.359550562
Bovinae,4,32.7,27.6,31.7,18.2,20.7,12.9,17,14.2,1.516483516
Bovinae,4,33.7,28,32,18,19.3,13.2,16.4,13,1.555555556
Bovinae,4,32.4,26.9,31.7,18.5,20.5,11.5,16.6,15.3,1.454054054
Bovinae,4,33.3,26.9,31,18,20.9,12.6,17.4,15.1,1.494444444
Bovinae,4,34.2,27.5,31.9,17.7,19.6,12.7,16.2,13.9,1.553672316
Bovinae,4,36.8,30.4,34.7,20,21.5,13.5,18.3,15.7,1.52
Bovinae,4,38.5,30.1,34.2,20.5,22.4,14.2,19.1,15.9,1.468292683
Bovinae,4,38.4,30.6,35.3,20.4,21.6,14.3,19,16.6,1.5
Bovinae,4,39.7,31.9,37.2,20.6,22.6,14.5,19.7,16,1.548543689
Bovinae,4,40.8,33.3,38.6,24.5,24.8,15.2,20.2,16.5,1.359183673
Bovinae,4,36.5,30.1,35.4,20.9,23.2,14.9,20.3,17.7,1.440191388
Bovinae,3,42.6,34,39.7,25.3,25.2,15.8,19.7,16,1.343873518
Bovinae,3,48.6,40.5,47.4,28.3,30.3,17.9,21.3,19.1,1.431095406
Bovinae,3,47.1,37.5,42.6,27.3,28.4,16,22.3,18.4,1.373626374
Bovinae,3,47.9,37.2,43.9,28.1,29.2,18.3,23.5,20.8,1.323843416
Bovinae,3,40.9,32.2,38.6,23.9,25.1,16.1,20.6,15.2,1.347280335
Bovinae,3,40,32.2,36.8,23.8,25.1,14.4,19.3,16.4,1.352941176
Bovinae,3,61.2,49.2,55.2,35.2,37.7,24.1,30.1,26.4,1.397727273
Bovinae,3,58.4,45,52.5,32.6,35.4,21.7,27.8,25.6,1.380368098
Bovinae,3,60.6,47.3,54.6,34.8,37.4,21.6,29.5,26.6,1.359195402
Bovinae,3,45.4,35.7,39.8,29.7,29.4,18.8,23.8,20.1,1.202020202
Bovinae,3,64.3,52.5,60.4,36,38.1,23.8,31.4,29.8,1.458333333
Bovinae,3,65.2,53.7,61.2,40.6,39.5,26.5,33,27.5,1.322660099
Bovinae,3,57.1,45.2,53.9,31.5,34.3,20.8,26.8,23.8,1.434920635
Bovinae,3,56.2,46.8,53.7,34.9,34.1,21.9,27.7,24,1.340974212
Bovinae,3,64.4,51.8,59.1,38.7,42.3,24.2,31.9,25.8,1.338501292
Bovinae,3,61.7,50.2,57,37.6,39.5,22.1,30.3,26.6,1.335106383
Hippotraginae,1,44.7,37.2,42.3,28.5,27.2,17.6,23.2,18.6,1.305263158
Hippotraginae,1,44.5,36.8,41.7,27.8,26.4,17.3,22.1,19.8,1.323741007
Hippotraginae,1,41.6,33.3,39.1,27.2,26.7,16.6,22.2,19.2,1.224264706
Hippotraginae,1,43.9,34.5,40.6,27.7,27.4,16.6,22.7,20.2,1.245487365
Hippotraginae,1,57.3,45,53.6,37.5,38.2,22.9,29.6,27.8,1.2
Hippotraginae,1,60.7,48.7,57,38.5,36.9,23.6,32.2,28.9,1.264935065
Hippotraginae,1,53.4,44.6,52.3,34.7,33.9,20.8,27.3,24,1.285302594
Hippotraginae,1,56.4,45.8,53.9,33.8,34,22.1,29.5,26.1,1.355029586
Hippotraginae,1,60.3,49.2,55.5,39.1,36.6,23.7,31.4,27,1.25831202
Hippotraginae,1,50.6,41.4,46.4,30.1,31.4,18.6,25.9,21.4,1.375415282
Hippotraginae,1,47.7,37.6,43.3,27.4,28.7,17.3,25.4,20.4,1.372262774
Hippotraginae,1,49.6,38.2,44.3,29.3,30.9,19.2,25,21.6,1.303754266
Hippotraginae,1,55.1,44,51.2,37,37.8,23,29.6,25,1.189189189
Hippotraginae,1,52.4,43.2,49.7,28.7,33.1,22,27.3,23.3,1.505226481
Hippotraginae,1,54,43.4,51.7,32.2,33.7,20.8,26.8,23.3,1.347826087
