Subfamily,Habitat,LM,WP,WI,WD,HP,HI,HD
Alcelaphinae,1,65.3,20.9,15,18.7,25.9,19,15.7
Alcelaphinae,1,62.8,19.1,14,18.2,25.3,19.9,15
Alcelaphinae,1,54,19.2,15.5,18.5,24.4,19,15
Alcelaphinae,1,54,16.9,13.5,15.6,22,16.9,13.2
Alcelaphinae,1,56.1,18.9,16.6,17.6,25.2,19.8,14.2
Alcelaphinae,1,56.9,19.7,17.2,17.6,24.9,21.4,15.7
Alcelaphinae,1,74,21.7,16.3,19.3,27.1,23,17
Alcelaphinae,1,69.5,21.4,15.7,19,26.3,19.5,16.3
Alcelaphinae,1,67.2,21.6,16.3,19.1,26.2,20,16.5
Alcelaphinae,1,57.8,20,16.8,17.8,23.8,18.4,13.9
Alcelaphinae,1,55.1,20.3,15.7,19.6,23.6,18.7,14.9
Alcelaphinae,1,50.8,19.6,15.3,17.5,23,16.8,14.3
Alcelaphinae,1,53.3,21.6,18.1,20.3,25.7,18.8,13.8
Alcelaphinae,1,62,22,19.3,21.8,27.4,19.7,16
Alcelaphinae,1,61.1,22.9,17.2,21.9,27.4,20.1,16.5
Alcelaphinae,1,58.8,23.1,16.9,19.3,25.6,19,15.7
Alcelaphinae,1,56.1,20.7,15.5,20.1,24.5,18.3,15
Alcelaphinae,1,57.6,22.1,17,19.7,26.6,19.6,16.2
Alcelaphinae,1,50.1,15.5,10.8,13.8,19.3,14.5,12
Alcelaphinae,1,43.7,15.6,11.5,13.9,19.8,14.4,11.2
Alcelaphinae,1,51,15.9,10,13.7,19.1,14.6,11.6
Alcelaphinae,1,50.3,14.8,10.7,13.5,18.2,14.1,11.5
Alcelaphinae,1,43,15.5,11.4,13,19.8,15,11.4
Alcelaphinae,1,45.2,14.9,11.1,12.9,19.7,14.6,11
Alcelaphinae,1,51.1,16.6,12.9,14.5,20,15.9,12.3
Alcelaphinae,1,58.8,17.2,13.2,15,22.1,15.5,13
Alcelaphinae,1,62,20.2,14.5,18.2,24.8,19.3,14.8
Alcelaphinae,1,53.5,18.3,14.5,16.5,23.2,17.8,13.4
Alcelaphinae,1,53.1,19,14.2,16.8,21.9,18.1,12.9
Alcelaphinae,1,68.5,21.6,15.4,18.7,25.8,19.5,15.6
Antilopinae,1,48.6,9.6,8.4,10,15.7,11.1,10.3
Antilopinae,1,49,10.6,9.3,10,16.6,11.6,10
Antilopinae,1,50.2,10.6,8.8,10.2,16,11.2,10.1
Antilopinae,1,38.4,11.6,8.8,10.1,15.4,11.2,9.4
Antilopinae,1,33.8,10.2,7.6,8.9,13.2,10.1,8.7
Antilopinae,1,51.4,10.1,7.9,9.6,16,10.9,10.1
Antilopinae,1,39,11.2,8.9,9.7,14.3,11,9.3
Antilopinae,1,44.9,14.8,10.9,11.6,18.9,14.7,11.9
Antilopinae,1,53.6,12.9,10.2,11.8,18.8,13.4,12
Antilopinae,1,55.5,13.2,10.3,11.5,19.6,14.4,12.2
Antilopinae,1,56.7,12.8,10.3,11.6,18.1,12.4,11.5
Antilopinae,1,56.8,13.4,10.6,11.7,18,13.4,11.8
